2015-11-14 23:36:13,Please The World Peace #Paris #France #lighting #not #afraid #fight #peace #strong #safe #world… https://t.co/gRw2St5Slg,"['Paris', 'France', 'lighting', 'not', 'afraid', 'fight', 'peace', 'strong', 'safe', 'world']","Paris, Ile-de-France,France",
2015-11-14 23:35:06,"Just posted a photo @ Paris, Francia, Torre Eiffel https://t.co/OXjl85CYka",[],"Paris, Ile-de-France,France",CITY BELL   
2015-11-14 23:34:27,#ParisJeTaime speechless in front of such a surreal horror. Every human is part of #humanity… https://t.co/AVSTp2tda3,"['ParisJeTaime', 'humanity']","Paris, Ile-de-France,France",
2015-11-14 23:33:55,"pray for paris. @ Paris, France https://t.co/BfrB6dwjOR",[],"Paris, Ile-de-France,France",badlands
2015-11-14 23:33:47,Darkness cannot drive out darkness; only light can do that. Hate cannot drive out hate; only love can… https://t.co/w1743whZ2T,[],"Paris, Ile-de-France,France","Sydney, Australia"
2015-11-14 23:33:42,"pray for paris🙏🙏🙏
#paris @ Paris, France https://t.co/yAdMnyhHAj",['paris'],"Paris, Ile-de-France,France",
2015-11-14 23:33:22,"A favorite #selfportrait of #artist Albrecht #Dürer, visited on #friday13 at the #Louvre #museum.… https://t.co/hNSpMobyHn","['selfportrait', 'artist', 'D\xc3\xbcrer', 'friday13', 'Louvre', 'museum']","Paris, Ile-de-France,France","Paris, France"
2015-11-14 23:33:07,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Metz FR 
2015-11-14 23:33:05,We have a Google Play link now too for #Android users https://t.co/EdfPAo9gHv https://t.co/XMd6YY59vU,['Android'],"Paris, Ile-de-France,France",UK
2015-11-14 23:33:02,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:33:02,"RT @TatonJulie: No words.. Just tears.. @ Paris, France https://t.co/XPCdXmpdog",[],NA,
2015-11-14 23:32:50,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Paris
2015-11-14 23:32:49,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Saint-Brieuc, Bretagne"
2015-11-14 23:32:47,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,France
2015-11-14 23:32:29,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,"Paris, Ile-de-France"
2015-11-14 23:32:07,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,luna ☽
2015-11-14 23:32:01,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:31:49,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,
2015-11-14 23:31:33,"RT @afrenove: Last night, these 5 strangers came to my place. We are now best friends for life. #opendoors #safe #AOHelp https://t.co/3lY9E…","['opendoors', 'safe', 'AOHelp']",NA,Paris
