createdAt,trend
2015-12-05T12:18:56Z,Lions
2015-12-05T12:18:56Z,Tashfeen Malik
2015-12-05T12:18:56Z,Moments
2015-12-05T12:18:56Z,Aaron Rodgers
2015-12-05T12:18:56Z,Bronco Mendenhall
2015-12-05T12:18:56Z,#FelizSabado
2015-12-05T12:18:56Z,#1989TourBrisbane
2015-12-05T12:18:56Z,#bethechance
2015-12-05T12:18:56Z,#toyteam9
2015-12-05T12:18:56Z,#Caturday
2015-12-05T12:18:56Z,#N1CanalFiesta49
2015-12-05T12:18:56Z,#KarachiVotesForMQM
2015-12-05T12:18:56Z,#DelhiOddEvenLogic
2015-12-05T12:18:56Z,#ChristmasShoppingAtTheMovies
2015-12-05T12:18:56Z,#splatfest
2015-12-05T12:18:56Z,#Hoodslam
2015-12-05T12:18:56Z,#TheWiz
2015-12-05T12:18:56Z,#NationalCookieDay
2015-12-05T12:18:56Z,#BlueNeighbourhood
2015-12-05T12:18:56Z,#TwitterAwakens
2015-12-05T12:18:56Z,#ANTM
2015-12-05T12:18:56Z,#GBvsDET
2015-12-05T12:18:56Z,#MuslimApartment
2015-12-05T12:18:56Z,#NASCARawards
2015-12-05T12:18:56Z,#UndateableLive
2015-12-05T12:18:56Z,#PitMad
2015-12-05T12:18:56Z,#RDFamilyHoliday
2015-12-05T12:18:56Z,#Packers
2015-12-05T12:18:56Z,#Bellator147
2015-12-05T12:18:56Z,#MarioWoods
2015-12-05T12:29:05Z,#KIISJingleBall
2015-12-05T12:29:05Z,#ICallDibsOn
2015-12-05T12:29:05Z,#SmallBizSatUK
2015-12-05T12:29:05Z,#TEDxEuston
2015-12-05T12:29:05Z,10 US Senators
2015-12-05T12:29:05Z,SATs
2015-12-05T12:29:05Z,#ActionDay
2015-12-05T12:29:05Z,Bootsy Bellows
2015-12-05T12:29:05Z,Niall and Selena
2015-12-05T12:29:05Z,EU Qualifier
2015-12-05T12:29:05Z,Dense Fog Advisory
2015-12-05T12:29:05Z,Page 1
2015-12-05T12:29:05Z,Padrino Lpez
2015-12-05T12:29:05Z,San Bernardino
2015-12-05T12:29:05Z,Scott Weiland
2015-12-05T12:29:05Z,Greinke
2015-12-05T12:29:05Z,Hail Mary
2015-12-05T12:29:05Z,Anthony Davis
2015-12-05T12:29:05Z,Jay Z
2015-12-05T12:29:05Z,Lions
2015-12-05T12:29:05Z,Tashfeen Malik
2015-12-05T12:29:05Z,Moments
2015-12-05T12:29:05Z,Aaron Rodgers
2015-12-05T12:29:05Z,Bronco Mendenhall
2015-12-05T12:29:05Z,#FelizSabado
2015-12-05T12:29:05Z,#1989TourBrisbane
2015-12-05T12:29:05Z,#toyteam9
2015-12-05T12:29:05Z,#bethechance
2015-12-05T12:29:05Z,#Caturday
2015-12-05T12:29:05Z,#N1CanalFiesta49
2015-12-05T12:29:05Z,#StormDesmond
